"Browser","Browser Version","Short Browser Version","Engine","Engine Version","OS","OS Version","measurement","showlatency","hidellatency","delay","measuredto"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","84072","92264","100","101"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","69612","142184","110","110"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67416","158952","150","151"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67296","109148","100","100"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67284","175720","110","177"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","68296","158184","150","152"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67936","108392","100","101"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67688","108544","110","113"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67680","158824","150","150"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67668","108648","100","101"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67680","108648","110","112"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","84192","142184","150","151"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67424","108896","100","103"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67672","108520","110","114"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67812","158724","150","152"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67556","108672","100","101"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67668","142056","110","111"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67544","158840","150","151"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67672","108768","100","103"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67668","108536","110","114"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67640","158832","150","152"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","68692","108648","100","105"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","68708","108520","110","111"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","68692","158832","150","152"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67540","108664","100","103"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67540","108776","110","114"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67540","158960","150","150"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67540","108768","100","102"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67540","108784","110","114"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67564","158824","150","153"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","85568","91760","100","104"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","70608","108784","110","114"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67672","158712","150","151"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67540","108776","100","102"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67544","108776","110","112"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67676","158816","150","151"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67680","108520","100","104"
