"","showlatency","hidelatency","delay"
"588",63.148,1003.528,1000
"589",68.28,52.856,50
"590",56.344,102.408,100
"591",63.164,121.148,110
"592",61.444,1001.816,1000
"593",69.976,54.592,50
"594",69.992,102.4,100
"595",63.168,119.452,110
"596",61.456,1003.504,1000
"597",69.996,51.168,50
"598",56.344,119.452,100
"599",63.16,117.74,110
"600",63.168,1003.508,1000
"601",68.272,52.872,50
"602",56.344,121.168,100
"603",61.456,117.752,110
"604",63.16,1003.504,1000
"605",68.28,52.864,50
"606",56.332,119.464,100
"607",63.164,117.744,110
"608",63.152,1001.816,1000
"609",69.984,56.288,50
"610",69.988,102.4,100
"611",63.164,119.448,110
"612",61.448,1003.504,1000
"613",68.28,54.576,50
"614",54.64,117.756,100
"615",64.856,121.172,110
"616",59.756,1003.504,1000
"617",68.264,52.888,50
"618",56.344,119.464,100
"619",61.444,122.872,110
"620",59.74,1003.504,1000
"621",68.284,52.864,50
"622",56.344,117.744,100
"623",64.856,117.756,110
"624",63.164,1005.216,1000
"625",66.564,56.296,50
"626",68.276,104.108,100
"627",61.468,119.432,110
"628",63.16,1001.8,1000
"629",69.972,51.164,50
"630",56.332,104.116,100
"631",63.16,117.736,110
"632",63.148,1005.224,1000
"633",66.56,52.884,50
"634",56.348,117.744,100
"635",63.164,121.156,110
"636",61.468,1003.488,1000
"637",68.28,54.58,50
"638",71.692,104.104,100
"639",61.452,117.748,110
"640",63.168,1001.784,1000
"641",69.96,52.904,50
"642",56.344,119.472,100
"643",61.448,122.864,110
"644",59.752,1001.788,1000
"645",69.976,54.584,50
"646",71.688,102.4,100
"647",61.464,121.156,110
"648",61.448,1001.808,1000
"649",69.976,54.564,50
"650",69.992,102.4,100
"651",63.156,121.176,110
"652",61.456,1001.792,1000
"653",69.988,54.576,50
"654",69.996,102.4,100
"655",63.172,121.152,110
"656",61.468,1001.796,1000
"657",69.972,54.576,50
"658",69.996,102.4,100
"659",63.156,119.448,110
"660",63.164,1001.8,1000
"661",69.988,51.16,50
"662",58.056,117.752,100
"663",63.156,122.872,110
"664",59.744,1001.82,1000
"665",69.996,54.568,50
"666",69.988,102.4,100
"667",63.148,122.876,110
"668",58.056,1003.496,1000
"669",69.968,51.172,50
"670",56.36,119.44,100
"671",63.16,117.752,110
"672",63.172,1005.192,1000
"673",66.564,52.88,50
